ROW,FIELD,id,acylcarnitine_15_3,BMP_37_7_15_1_22_6,CerNS_38_3_d18_2_20_1,CSH_posESI_004,CSH_posESI_022,CSH_posESI_027,CSH_posESI_041,CSH_posESI_288,CSH_posESI_296,DG_34_3_16_0_18_3,DG_34_4_16_1_18_3,DG_36_4,DG_36_4_18_2_18_2,DG_36_5_18_2_18_3,DG_36_6_18_3_18_3,DGDG_32_0_16_0_16_0,DGDG_32_1_16_0_16_1,DGDG_33_3_15_0_18_3,DGDG_34_1_16_0_18_1,DGDG_34_2_16_0_18_2,DGDG_34_4_16_1_18_3,DGDG_34_4_16_1_18_3,DGDG_34_5_16_2_18_3,DGDG_35_3_17_0_18_3,DGDG_35_5_17_2_18_3,DGDG_35_6_17_2_18_4,DGDG_36_2_18_0_18_2,DGDG_36_4_18_1_18_3,DGDG_38_5_20_1_18_4,DGDG_38_6_18_3_20_3,GlcCerNS_34_3_d18_2_16_1,GlcCerNS_36_3_d18_2_18_1,GlcCerNS_38_3_d18_2_20_1,LPC_16_0,LPC_18_0,LPC_18_1,LPC_18_2,LPC_18_3 ,lysoPE_18_2,lysoPE_18_3,MGDG_34_1_16_0_18_1,MGDG_34_2_16_0_18_2,MGDG_34_3_16_0_18_3,MGDG_34_4_16_1_18_3,MGDG_34_6_16_3_18_3,MGDG_35_3_17_0_18_3,MGDG_36_3_18_0_18_3,MGDG_36_3_18_1_18_2,MGDG_36_6_18_2_18_4,MGDG_36_6_18_3_18_3,MGDG_36_7_18_3_18_4,MGDG_38_5_20_2_18_3,MGDG_38_6_18_3_20_3,PC_16_0_9_0_CHO ,PC_32_1,PC_32_2,PC_33_2,PC_34_0 ,PC_34_1,PC_34_3,PC_34_4,PC_35_1,PC_35_2,PC_36_1,PC_36_2 ,PC_36_3_A ,PC_36_3_B ,PC_36_4_A,PC_36_4_B ,PC_36_5_A ,PC_36_6_18_2_18_4,PC_36_6_18_3_18_3,PC_38_2,PC_38_3 ,PC_38_4_18_2_20_2,PC_38_5_A ,PE_32_0_16_0_16_0,PE_34_2,PE_36_3_18_0_18_3,PE_36_5_18_2_18_3,PE_36_6_18_3_18_3,PG_32_0_16_0_16_0,PG_32_1_16_0_16_1,PG_34_2_16_0_18_2,PG_34_4_16_0_18_4,PG_34_5_16_1_18_4,PG_36_7_18_3_18_4,plasmenylPC_35_2_P14_0_21_2,plasmenylPC_36_2_P14_0_22_2,SM_39_10_d17_3_22_7,SM_39_9_d16_3_23_6,SM_40_4_d16_2_24_2,SM_40_5_d16_1_24_4,SQDG_34_2_16_0_18_3,SQDG_34_3_16_1_18_3,SQDG_36_2_18_0_18_3,SQDG_36_4_18_2_18_3,SQDG_38_5_18_3_20_3,SQDG_42_1_16_0_16_0,SQDG_45_1_18_2_18_2,TG_49_2 ,TG_50_2,TG_50_3,TG_50_4 ,TG_50_5,TG_52_3 ,TG_52_4,TG_52_5 ,TG_52_6,TG_53_4 ,TG_53_5 ,TG_54_1 ,TG_54_2,TG_54_4 ,TG_54_4 ,TG_54_5,TG_54_8,TG_56_2 ,TG_58_14_19_5_19_5_20_4
2613,high,LANMLR17B146,591055,19766,37422,19532,7697,414801,50764,31587,19418,95833,22130,4873,65509,153277,173410,268974,10677,17496,120966,774353,32271,32480,8244,72467,9876,30130,131845,235758,19403,102670,72333,165414,310871,122697,13542,118083,1132339,510448,47674,11929,21476,205222,883229,49725,18396,33786,93538,48958,49980,415111,30076,28738,49892,21307,27825,46229,96478,11525,936740,3322647,55184,10874,122776,29920,676413,929901,491824,4077983,33134,3909235,49801,929769,22039,49981,88564,13377,79902,463046,14602,86378,11186,192120,225841,432731,1152769,23831,11840,21167,789388,36818,22232,19082,35581,2256854,12400,115959,643832,9847,1259750,112860,3819,198036,42530,3832,9326,5601,343117,518766,4724,4904,5458,14607,2376,71180,6404,89196,611573,2395,17123
2614,high,LANMLR17B041,117126,25059,32335,12169,21315,278656,17916,24709,6455,144717,13875,11001,128219,300727,138452,317349,12457,13527,179102,1210457,86447,89612,21109,132436,15455,62100,209375,450757,24924,206980,74594,42185,309311,67840,7031,74829,698489,299517,26634,8210,35132,676809,1759933,127877,128594,68891,268393,105637,24131,356098,85586,40821,190219,12118,30839,32002,27967,5776,647682,2553609,59666,10410,62730,25147,542957,357875,375765,2232164,27253,3625118,23344,788724,12803,35553,63703,33728,38791,222289,6468,60300,8858,102324,208067,237192,1217439,15528,10799,15486,717269,62717,13466,15051,14452,2334141,12475,201102,404392,22996,1349585,130168,6586,238667,147169,16211,18399,13016,1042093,1377780,19700,13682,15520,7075,2519,147876,11541,321434,1837560,8994,14934
2615,high,LANMLR17B114,652965,24951,35324,8739,19311,343581,40468,19128,38723,108158,17895,16740,110502,262982,182285,231157,4257,9581,74138,521624,30564,31563,3005,72382,9652,27549,104011,183190,12694,90844,70559,157917,312120,109734,16078,199926,3199039,817384,51099,12355,9603,164476,865022,54546,32196,37625,88482,21228,43914,398808,39945,19320,47696,22517,26738,37625,100607,10346,602947,2453399,52759,10493,142143,32172,676245,654994,470268,3712357,19684,3549986,37215,750632,21606,38279,85347,14538,62806,524983,18022,76466,12670,150014,211028,354975,1125589,15289,16398,19270,744611,30751,19254,14747,23357,2170949,14264,125379,780240,11694,960375,100817,7730,218780,72146,19372,39785,8540,469764,701301,15268,7436,9598,10541,2072,81722,7850,124074,1013781,5396,18497
2617,high,LANMLR17B044,471942,16801,23583,10744,31176,468367,111089,26155,15924,138244,15999,19200,116320,229963,214511,278709,8078,5255,73215,580227,24275,34543,5252,47904,6882,26881,106914,168222,16611,78739,53196,132671,211344,155168,12226,241820,2939776,945117,64497,17603,12961,175417,728017,52422,9273,27931,85118,25231,35808,491650,15067,26942,31610,22393,23936,37972,67002,10887,779324,2445802,47589,10793,95337,34470,575880,552757,368317,3801980,21643,2542291,72103,1099258,14104,36110,65713,8698,90503,255884,4908,29770,5643,185757,224583,477320,913676,21504,3156,18556,551915,34772,17030,20718,2998,2142499,9801,85390,861910,3911,1094165,128966,10254,353518,103405,15473,17679,13664,797295,1133400,23695,11715,13208,14552,3085,128255,13309,193806,1070614,9390,19421
2618,high,LANMLR17B068,458171,24068,37535,8082,31737,316523,41169,16523,15362,122417,16809,15582,124280,348626,185508,262739,10420,16908,129486,1139610,31050,34254,9161,88867,12269,28862,149973,360586,17358,91088,66249,162891,310076,102307,15768,138169,1322021,427146,43667,11321,24657,286209,1053691,48401,26945,51614,111878,61527,48645,356833,28092,24714,50687,17654,23342,46853,80711,11357,819708,3072856,51475,13756,143820,38379,652459,738905,514498,3145860,17696,3239967,49697,830970,19217,37075,62458,15461,61011,394747,13640,88185,12410,145680,194091,331629,1054970,13743,9712,25648,761033,27568,19531,14544,23157,2183178,10882,132542,623472,9658,1301047,101466,4100,185593,70590,15391,24234,13649,773152,986901,18824,10538,12122,11344,1959,153309,14077,333286,1374414,3380,15560
2619,high,LANMLR17B003,154471,11698,30799,10910,10464,280785,22297,25199,16385,76569,17799,5134,51750,129643,110978,231353,3720,8181,99671,504859,39534,32897,8534,83336,12023,34182,99078,221510,14950,144268,61168,104541,291495,87188,13062,97009,1032823,481730,31116,9014,16569,196988,1216730,71387,52627,53137,146052,41382,61282,270851,51879,26274,103223,18605,52412,70100,107762,8472,1015801,4079349,77715,16605,147016,51176,930786,1050205,696806,3903742,22888,4997564,48408,1117940,32428,58831,125923,22135,45350,410130,9849,86892,13404,165695,244072,307737,1451625,18523,20897,17165,665225,56518,17330,10886,7387,1736148,5539,101985,599870,11412,910002,75118,4663,175815,54965,3954,5815,6902,331225,508827,3646,5734,7234,7665,1589,58451,6252,79819,463884,4426,9936
2621,high,LANMLR17B103,259856,24600,22407,18234,23220,424068,81178,20991,14918,112267,12626,10971,92751,205718,199008,267916,9724,16170,84190,565777,29577,36837,5133,71961,8231,29045,95890,199699,17045,99981,51076,90395,166550,128077,8402,236075,3098301,1014932,57089,15979,19477,163398,906194,45888,29532,35978,94198,40318,57083,434155,39994,25743,60220,23905,18155,30101,86495,4028,824848,2746680,54275,12310,97329,38778,571520,717308,434096,3301437,13882,2810089,62821,703314,18979,41994,62866,14340,74450,392549,6690,88544,9520,164467,205543,432654,1159048,17426,7832,17018,450491,21139,23071,19198,30689,2500601,14564,141494,660521,10916,1247055,117816,4194,201688,71682,10866,19375,12348,657325,926533,17077,8844,8702,17791,2599,138437,13082,268730,1087883,5641,25206
2623,high,LANMLR17B153,151650,21941,27072,15699,19437,245614,36119,26978,21681,101148,16046,13268,123106,275409,105823,244863,9243,13547,69687,448855,35818,46535,9915,79044,7021,26744,87638,233722,16602,98658,45646,85104,248546,82316,12332,364289,4019526,1490111,33897,8130,15787,170651,852146,54004,37202,35917,107431,45598,49857,365934,32430,24939,61776,13777,43097,41127,72363,7554,767746,2546285,49665,11106,97218,33705,573379,779130,418709,2836373,14031,3295480,32298,788177,19010,33843,58712,14553,39044,299741,7651,69104,7659,136393,224329,361951,1041941,17703,9397,16643,583851,35417,15535,11182,23842,2334053,12628,175070,347841,13629,1269300,128100,730,192403,55614,18117,26566,8849,637298,876367,18419,8859,11301,9914,1509,112593,9458,217060,1304214,1959,19856
2624,high,LANMLR17B116,53422,26001,27336,11012,33180,249722,29051,17294,15600,97590,18123,17055,132718,254783,123370,226840,5915,14197,96781,552450,44144,40988,11033,89182,13118,37851,100045,246671,14933,125578,55611,111364,260709,86246,9081,79811,1177737,534604,37389,9740,21866,239407,1271930,68560,73456,47416,119033,42185,80561,261582,77403,26740,89850,15609,29258,49553,85735,8324,731665,2922594,62396,11963,122443,32010,755559,775071,489036,4439024,25327,4710901,38242,988208,27618,48173,99146,22861,41727,733738,16587,159929,20775,122847,243105,320512,1750324,12856,24558,15413,618907,39455,18138,12417,19355,1856153,10442,99902,561663,10607,950106,87524,3811,125093,23421,11799,21732,4222,466174,588207,6653,3709,5048,10408,1668,79602,4561,176782,1121230,1542,16479
2626,high,LANMLR17B060,785295,23251,53568,20292,39835,524949,70047,35234,36965,224458,28896,19072,152165,343516,266270,304882,12880,18541,70478,562931,40703,43761,0,65687,11467,29107,94157,152604,19539,88242,93549,308864,460544,147669,20044,215569,2506390,584654,54909,12299,13195,118979,916931,61146,24765,30990,107644,24861,47402,573075,35629,33760,42283,25103,16585,21406,71560,13176,498349,2064560,48788,7844,66646,24384,340173,306128,327135,1810331,20314,3074692,42309,403407,13514,23062,42604,17160,87803,298259,14216,55226,7068,256197,279232,475737,1214118,25253,6060,34507,1081074,20444,25659,12279,35643,3329989,17567,140734,916835,14101,1252248,124131,8097,253853,49399,25089,60254,10834,674259,907179,29369,8522,5150,19419,2945,117541,12279,194488,1454911,6273,27358
2627,high,LANMLR17B027,224289,24977,26699,8938,22001,301853,40722,18689,18920,79443,12075,10928,87289,221886,151138,179059,7550,11699,65456,402530,19142,25054,3045,51731,6553,22487,86425,135887,12115,79129,44694,108682,202827,105335,17510,97415,1015815,343736,39493,11869,7140,141979,629697,39817,18447,33320,72679,30065,25008,314850,26845,19152,40749,23730,25258,64015,99684,11039,876753,3566288,55191,13134,158398,47140,886258,1160369,611497,5324722,44570,5831468,73427,1379176,30938,66723,131938,14300,57356,715571,19986,159655,21429,160426,175821,362757,958120,26076,9555,17964,536078,52974,17478,10859,21523,1550692,9076,75789,440538,6767,730409,80569,4442,153516,29065,6826,12472,6032,335082,464731,12280,4595,5083,13323,1957,65298,6418,100593,579977,2861,12492
3025,low,LANMLR17B151,293835,14850,34463,17993,31206,246807,39250,6181,21005,96074,16570,13101,150433,216630,231353,188911,2604,8436,89272,546722,22336,25833,14274,58721,9668,26399,111668,190775,16559,88961,69316,146597,265740,101187,16152,365880,3377695,1153141,61669,11152,23228,164040,1882682,50302,24643,24851,97604,51346,40132,396718,28860,23619,53481,15855,23515,29149,67160,6791,770226,2329036,33523,12386,64410,59860,491170,713835,222857,2915187,13192,3036065,24033,910304,21954,40107,48055,14486,56768,280493,2737,45324,5617,120731,137854,350885,1120860,16981,12712,16708,624901,38008,18012,1406,30162,2456256,13799,153526,864663,13110,1062239,151830,5385,210531,76888,13245,23051,9376,651444,619910,16156,6019,6844,7647,1748,137869,14388,572744,952932,6862,14483
3029,low,LANMLR17B046,233051,11056,34061,3838,32024,224945,31655,6743,13533,121362,13768,9920,107616,199958,187571,188342,4613,12760,79072,591380,26388,28466,10793,61674,8860,25556,80824,157983,13485,93207,72307,178861,272477,101704,12541,138474,2419858,1632975,88571,25090,24820,202250,1931606,42748,24741,27521,86857,38113,37871,374146,33512,20772,51952,12558,19521,20243,67131,7269,469455,2996737,33261,3738,80293,19832,255067,407278,198854,2079006,21505,2849440,40340,1049684,17945,21844,39032,12321,47227,394355,15773,85827,14647,109792,123813,363767,751227,486,9905,16790,624167,27807,19036,22412,62686,2245027,14243,101955,533853,11688,918642,72281,10002,219755,103153,15090,27407,12326,1102062,1417264,25069,11011,12789,12214,1678,97170,11637,397520,2870677,7810,10330
3032,low,LANMLR17B140,216811,42497,32215,21807,21656,195244,40109,10349,15219,67734,12899,18349,148866,243114,141341,223336,6406,11100,90434,501337,18642,38257,13100,81350,9736,24968,78836,183782,13053,96339,75445,118025,241124,146311,13155,93523,1245882,818966,38849,6864,24196,171395,2085468,54388,37905,39965,99491,38001,52752,394211,36876,23841,64242,14251,29753,48181,126539,2008,661832,3421128,34450,10899,93718,39040,602222,605270,333399,4070638,37208,4249631,43212,1004495,20468,44391,84608,15506,64079,687733,12450,110856,10589,95111,173814,279540,1386055,13169,12215,15131,574845,50823,18818,9111,33952,2195869,12614,88105,599839,10545,799205,90613,5127,199700,61670,11050,17520,1116,472466,511058,6078,4503,3236,9854,1702,58659,6435,332977,846368,5641,14236
3034,low,LANMLR17B138,243695,30224,32828,13975,14485,183513,29365,17699,15025,89572,13967,10959,127708,157426,145043,250475,9376,9664,120615,648639,15380,47441,14591,72225,11740,26587,134926,244822,22274,97601,75759,123415,263587,152347,11884,116914,1290588,861490,16422,4862,37182,278090,2027929,58590,23416,30761,115216,58873,38150,386344,27296,30457,60313,32030,34671,40262,81928,5905,960568,3457465,30628,12981,72761,61146,800023,805782,328220,3713754,17515,4089563,36168,1015545,17134,71132,84406,14355,58554,320450,2948,47016,5433,153051,123590,356068,863014,21098,9083,14059,625173,70969,5118,5295,23599,2148285,2817,101512,569436,7265,1048060,117517,10023,206072,77824,17088,28277,9482,587980,574197,13117,2465,6138,12204,1698,114853,12030,395190,559375,9484,12296
3037,low,LANMLR17B007,218739,19663,32840,26973,26437,243090,33420,14549,18549,99636,15669,13755,129421,209554,201870,230764,6076,8686,70810,447902,23161,29195,12264,73985,9581,26984,90064,159449,12697,95758,65757,139578,286143,122458,18768,168495,2942354,1502180,75074,17540,25305,160827,1851896,49531,28624,27414,104759,27858,41717,341388,28621,21494,66686,26116,21209,25617,60620,8145,446583,2692502,37854,9108,66046,32623,563654,377176,281222,2719124,23142,3310838,25550,962675,21636,33988,58346,15619,48560,349709,8586,67524,8645,113369,175685,313367,1077434,24471,11576,15398,667455,48983,15888,15789,43941,2335523,12845,141568,769910,12684,1205031,103520,8375,202922,77609,12628,20919,42923,858281,805713,14587,7577,8239,30506,1519,330611,30743,400295,1243140,11003,11210
3038,low,LANMLR17B060,554693,21476,35553,8576,25456,289550,44724,13943,15413,124138,15943,19075,125007,262153,253295,241489,5046,9118,89472,568296,26231,31295,8573,48461,10427,27043,86663,169907,13759,100703,60189,156284,310247,94933,12301,207268,3027592,964016,62187,12428,14938,162517,1323815,53501,29769,44535,82108,41821,52115,416393,38019,34557,85881,19697,24023,32270,73088,7790,594992,2923668,53717,9103,87969,18618,388724,585644,236086,2807702,24606,3458146,52523,891124,16497,37838,86128,17934,59397,358882,12927,88211,12410,150599,162360,281677,1183572,16173,15674,23399,769556,25443,19231,10742,17503,2295816,9161,123848,350168,14428,1702452,103932,5408,246118,96195,14060,25043,7412,649025,860580,15684,6913,8150,12584,2001,95659,7394,242774,857226,5769,12054
3041,low,LANMLR17B074,241725,19697,35285,24152,20374,201375,45601,23294,18019,96943,14853,10559,129098,199756,203743,142515,2500,10113,86536,508943,26202,39005,13317,71322,11327,27191,97132,218050,15965,102636,73175,126593,271922,119247,15718,162054,2262540,1429673,63873,16219,24094,182143,1973051,58562,28726,33165,119499,64994,45339,406903,34243,26683,66313,21644,24127,25213,92086,2817,731690,3409794,36280,10901,68252,52206,499283,556076,344961,2748685,28325,3587127,39418,1101285,21982,31627,46135,14931,58923,358373,11521,78957,12167,137243,207177,342088,1162340,12853,11699,16281,632317,35803,5383,11290,41100,2493842,12661,141652,703648,13639,791141,104902,5398,216921,72060,8692,19488,7374,526693,609393,10335,3093,6703,10662,1790,74824,8051,341263,912927,5805,14729
3049,low,LANMLR17B129,304107,3104,43415,1106,28606,233063,36542,20982,28625,120987,15565,14872,179709,262113,308722,299288,7432,11614,98041,649282,34996,45188,19132,123936,14786,36309,131663,252392,20815,136418,91713,178733,366992,105404,21993,210191,4056945,1697984,116536,25524,20766,189667,2484177,67877,47915,40584,168651,38807,74689,431127,49193,35153,96098,9525,17486,8540,28455,3354,208529,1389006,28287,3044,58372,12959,195853,156323,82724,1445663,9244,2051226,12820,871809,15059,17473,29429,25494,57232,385955,11125,76458,10188,142522,182305,327420,1204420,0,17705,21883,841102,18253,22025,14425,39392,3130186,18864,220007,1141146,16375,1416449,154259,6034,243075,86136,14650,27315,6920,783959,829160,17732,3858,8071,13146,1901,79664,9278,314089,1187429,8063,13157
3050,low,LANMLR17B065,232187,18959,31098,1993,26168,200935,26189,19170,12887,82979,13945,8843,86015,195538,157706,218160,6813,10564,74297,509813,36054,36789,13485,90825,10086,28481,99651,198312,21293,110970,62036,137500,281654,143423,21755,157128,3019422,1824901,65541,20447,17583,194668,1861187,60840,29977,36603,138392,40391,41892,321325,31838,30573,74159,20603,22368,24525,62722,8344,375399,3408991,44915,8522,64310,26412,434033,284191,327086,2138693,23960,3508622,34863,1149461,20840,25052,50758,17732,39631,293951,8365,69113,13482,153250,206250,289771,1072110,15158,10563,17596,663877,43907,14635,16809,31075,2195570,14982,129193,811035,10962,834403,91508,7544,170114,66596,11753,19670,21506,592448,706168,13633,5766,7979,19449,10867,162076,15044,300707,1791231,8315,20020
3051,low,LANMLR17B059,297499,29527,30069,13166,19868,288067,50704,23577,18064,132572,15971,14463,104106,289874,209119,212255,6209,8143,79033,697384,26679,39660,8309,64937,8841,24892,99965,190036,14474,100724,56080,140056,273258,98446,12702,159642,2440247,868338,32915,9668,14308,214446,1262748,42051,26944,36374,86184,32326,63486,361861,42161,20964,56924,25512,23934,37223,77280,9114,662236,3152662,48312,9769,115936,26743,556846,520302,524426,2646117,24294,2891729,63996,836842,19362,26909,54194,15058,54126,412509,12824,98938,15892,102460,211917,274345,1023109,22948,12040,10355,600699,39264,19329,8830,13892,2310383,13711,132803,720305,11885,1020369,117083,5441,246153,160674,19900,31945,9754,1191696,1787658,39118,15856,22542,11955,1911,162955,8493,210645,1088788,6975,16315
3052,low,LANMLR17B077,285578,29139,29539,1950,21652,502105,49975,20343,18334,92175,14913,13085,89898,204487,161612,218422,6588,9643,76726,539677,30565,36970,8471,67874,10189,25830,86849,185823,11170,91376,55659,138924,258237,90549,12773,200467,2846550,1126887,84676,22356,14229,178188,1216429,52399,28865,36747,88617,34203,64346,523427,37364,23089,63485,18694,26000,36587,95694,7318,656936,2688825,50392,9334,100284,30234,545637,614595,407582,2643014,23232,3327011,56265,810418,21722,32995,69929,14650,53263,536205,15408,109054,15859,169422,222336,279746,1275764,16528,13842,15307,638885,29633,15277,7475,21256,2310827,9141,135651,431122,12502,1047327,86418,5893,230696,101561,16854,30197,7813,829709,1140344,19720,8146,10105,12206,1822,107414,7484,246657,943021,5802,17416
3053,low,LANMLR17B012,331478,15998,34031,12556,27571,200695,42211,21816,13678,111450,12881,13771,131024,224898,166649,282889,6705,8169,98122,648975,17706,36523,12401,53600,10483,25740,87868,190519,13567,99995,75911,108529,270586,130753,17816,152049,2885906,1413436,89156,20744,24090,240172,2067335,58749,29734,32135,90624,27814,47893,374649,30136,23664,78281,11401,24166,25682,47007,7283,548130,3070325,38621,2938,79492,24229,337672,301853,247134,2421378,10888,3299154,39204,1104764,16883,24005,46997,13566,67774,398907,13720,85134,12689,111660,110368,294215,889962,8306,6474,16604,634175,16072,18820,398,20469,2565365,13708,119029,589861,12549,1237992,104730,5544,226402,136329,14700,25889,17756,855019,930647,21188,7978,7175,8078,1670,107797,13996,359118,1016102,11779,15420
3054,low,LANMLR17B011,406332,28011,36634,8987,43388,364472,48472,19727,20920,113124,16622,32559,168825,383042,189897,295543,7192,8867,127799,783412,33190,27532,8365,65687,13870,28481,112124,246212,17298,104911,63143,67722,333765,142280,15112,154730,2341202,655159,47950,9674,17186,252083,1313956,70026,31214,45431,99421,42574,73699,487975,40917,32857,92700,19349,31628,58186,70041,8294,731833,3084102,65539,11636,121415,28238,580551,668327,385043,2850831,12102,2642059,61664,912164,18317,44957,95358,19017,63752,638767,19328,118654,16817,108844,200303,225756,1349177,18768,13817,21993,793617,34351,21819,7705,18892,2145617,7457,106877,555471,12898,1305302,86216,8577,246334,94690,15601,28026,5377,585444,794937,18401,7354,8365,13387,1679,88299,8103,206679,957827,5907,13581
3055,low,LANMLR17B018,330175,19475,38750,29087,27047,233565,33622,12563,15930,111179,18723,11720,142088,224913,248759,165752,5560,8475,78644,439578,34448,32130,14204,52386,9405,29481,81868,196234,13193,108027,79237,170511,323792,124694,24433,202854,3459071,1217150,73089,17105,18422,112672,2016950,52777,30884,23298,87666,27331,46172,387145,37423,24618,75001,16447,21798,20753,46027,6037,355475,2643601,40907,8179,62589,18750,287111,348328,164084,2759287,25471,3296990,30253,1031977,18200,27108,53690,14980,50635,329651,3884,75384,9744,104779,192730,273505,1208124,16175,15489,16394,742021,39297,18200,14567,48807,2505067,11696,147678,886635,14522,1058822,111251,10864,215839,77558,9380,18943,8292,739459,800448,16370,6389,7456,12754,1715,65648,7475,311710,1166251,7781,12283
3056,low,LANMLR17B032,382287,19958,31989,9735,17022,284772,51847,13928,13387,85447,14368,9158,72197,210346,228674,178452,4383,7529,73139,532096,21243,36653,6846,53349,7968,27067,86006,170413,11905,96624,55129,147978,249367,67618,10503,179386,2856271,1036334,53729,15175,13454,151656,1445136,46779,23645,33838,83553,20422,71330,605212,42253,23822,65117,22580,18184,31638,59496,7298,546757,3181886,49937,8789,81422,19496,370356,472025,283227,2899822,28893,3799101,68337,955183,19264,23784,56796,15936,63599,403974,12419,109431,18204,124393,158804,301272,1179429,18657,14067,16481,535669,29323,22120,15905,20788,2361242,9466,112015,556159,12989,1072323,82969,6478,269633,104662,14375,25420,7290,573642,899671,21296,7081,9636,13271,2133,78993,7861,127992,915345,5882,8288
3058,low,LANMLR17B075,344732,18266,39544,2529,32753,180217,34834,11019,22978,86517,18645,15730,150846,292495,203565,171321,5747,9008,81690,517648,18831,33783,13186,88316,11073,26034,101556,219801,17524,116491,74983,155401,310024,160005,23818,150740,2515977,1039524,79769,13884,18049,136240,1976364,59382,26050,37532,100540,40261,43334,412066,33434,29069,76484,17283,23267,32224,81510,6207,345314,2632688,36002,9852,86939,26227,478919,374875,235688,3194563,26911,3396317,30286,1012874,22876,34426,70346,17824,59232,442796,11006,75075,9343,155351,164256,343824,1037494,18934,14433,18399,713388,44539,5142,9927,53304,2473641,3124,136008,624197,13783,938391,107609,6317,224349,75084,14073,25253,6630,707860,698669,14143,8297,8662,8099,1817,87779,10304,419672,1593930,7683,12002
3060,low,LANMLR17B053,312778,23737,30595,11024,27871,316202,49002,18810,21610,113339,17126,15066,114331,258507,207023,330533,6995,10738,90624,689691,35578,43450,11376,81737,9547,30678,116170,201240,18414,118510,58183,155087,285309,115102,16101,181240,2734021,1211211,140819,36744,16731,311840,1167997,57305,43613,41875,145857,49360,40276,282431,42591,40716,103781,16923,23883,32905,52519,11090,562414,2585844,61817,8281,84307,25725,526968,446972,352684,2417612,12271,3139034,38607,794994,20187,36489,81299,27304,58061,598093,15510,126342,16739,167544,256509,371768,1452081,14435,15873,18674,711060,26838,13429,8592,14190,2308928,13072,192529,944513,14886,1098853,137548,5271,220940,96900,13823,23739,7523,793689,1090825,22965,8018,9430,13040,1717,104975,8276,209726,1149558,5905,14280
3061,low,LANMLR17B064,210145,18361,29485,8143,24354,301166,35096,21447,21073,105805,15746,41679,151096,239659,174439,238370,6754,10603,118750,525270,43533,31883,10194,111890,14057,32213,111700,278467,19385,141931,56546,126034,279138,129259,10846,127280,1225828,591405,14487,1485,20426,222975,1194020,82056,51502,68146,171388,112110,47047,434358,47434,43627,135320,14608,36856,56149,89789,8151,1454890,2838145,61851,16599,131977,84951,934885,1473943,542766,2617959,29258,2763864,48597,854137,23963,88704,117752,31646,55790,684524,16598,155696,15597,176697,241345,303003,1601865,14158,19433,15238,668217,37213,20419,7962,11169,2328736,8687,42843,782771,14480,1150156,112626,5284,221870,82198,13264,22563,5954,514623,648275,10877,6822,7538,11307,1492,128224,8443,327829,758076,5434,7662
3062,low,LANMLR17B027,303124,16607,30190,8526,22264,279514,42173,17437,21000,98127,17455,24556,144378,372515,211977,193653,4976,8415,80493,559171,27377,35619,8831,77119,11184,28082,98311,202601,23109,124622,55408,146335,262804,137695,17325,181643,2834828,892627,74480,15255,14132,190473,1270485,50320,29224,45455,101372,35660,76727,449832,39250,43013,97262,18830,23619,37586,76273,8088,643644,2834392,55784,9509,115404,29682,573733,640870,378819,2795196,17405,3480820,48817,852292,21201,43892,100923,24017,57158,510550,14307,112702,14701,145297,185538,405421,1353180,16258,13929,19515,644526,30193,19357,10762,16713,2330888,9347,144253,808413,14442,1028314,121692,5773,237794,91269,13119,22979,6693,555265,774451,13492,6727,9058,11951,1897,79308,7628,157436,822850,5259,21024
3064,low,LANMLR17B013,398899,15516,36241,8678,36562,386095,60610,20463,21454,113273,17828,18008,113410,273640,222603,284546,6914,8900,100135,601062,30907,31160,10069,84741,10637,28642,100542,211925,10588,95113,67075,205155,336519,84094,13384,211377,3083604,979044,89976,15999,15217,188286,1329568,58861,39647,52932,113889,37565,79893,390958,39388,25479,76945,19347,27770,37593,45353,8168,550782,2642342,43122,10027,84414,20415,406539,476676,225723,2704569,14525,3270827,34348,898791,17588,30433,59115,17692,69154,491580,10290,89295,11029,154298,183476,252422,1342297,13853,15510,19627,824934,29440,16896,7818,18945,2543554,9757,159351,127531,13528,1191823,98752,6014,250127,93456,16406,24712,10608,705409,877248,19487,8423,9310,18687,1895,144236,9900,337111,1227747,7233,26264
3065,low,LANMLR17B021,222989,27109,32510,10854,31578,311023,38410,18604,13962,148955,20725,23890,152071,305789,204381,328366,6867,16706,102539,703625,42501,45499,11238,116163,11793,37244,97614,205763,27981,169784,57738,124455,282252,196290,12654,138599,1429637,689318,13787,46,24690,270936,1291736,65181,51516,58866,131212,50539,54960,313496,58310,62347,156337,17379,17642,41601,120978,8751,774159,2944326,68618,10633,117445,28862,589970,704771,445371,2819137,26695,2952954,51112,906197,20048,58032,142951,32555,58806,795187,19329,176451,21755,125424,229236,337506,1606687,14246,15333,17479,622777,42233,19853,9540,18903,2543961,11088,137285,1064081,17833,1189207,122322,5697,240799,89036,13052,24476,6786,524312,730491,12110,6584,7943,12964,1918,85526,6372,241314,1083630,5518,10602
